hs_code,HS_NAME,FIPS,LOCALE,HS_STATE,CBSA,NMCBSA,CSA,NMCSA,sem_5,sem_6,sem_8,sem_9,sem_11,sem_12,sem_14,sem_15,sem_17,sem_18,sem_20,sem_21,sem_23,sem_24,sem_26,sem_27,sem_29,sem_30,sem_32,sem_33
N143452,RICHWOODS HIGH SCHOOL,F17143,12,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",4,0,2,0,2,0,2,0,0,0,2,0,0,0,3,0,0,0,1,0
N143455,PEOTONE HIGH SCHOOL,F17197,41,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N143465,ST BEDE ACADEMY,F17099,41,IL,36837,"Ottawa, IL",176,"Chicago-Naperville, IL-IN-WI",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N143478,SOUTHWESTERN HIGH SCHOOL,F17117,42,IL,41180,"St. Louis, MO-IL",476,"St. Louis-St. Charles-Farmington, MO-IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
N143490,PITTSFIELD HIGH SCHOOL,F17149,43,IL,N,Non_CBSA,N,N,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0
N143495,PLAINFIELD HIGH SCHOOL,F17197,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,3,0,3,0,2,0,6,0,2,0,2,0,0,0,5,0,2,0
N143496,PLAINFIELD SOUTH HIGH SCHOOL,F17093,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,3,0,0,0,0,0,1,0,3,0,3,0,0,0,3,0,1,0
N143497,PLAINFIELD NORTH HIGH SCHOOL,F17197,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,5,0,3,0,2,0,2,0,4,0,1,0,3,0,5,0,8,0
N143499,PLAINFIELD EAST HIGH SCHOOL,F17197,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",3,0,4,0,1,0,2,0,3,0,0,0,1,0,1,0,1,0,0,0
N143500,PLANO HIGH SCHOOL,F17093,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
N143515,PLEASANT PLAINS HIGH SCHOOL,F17167,42,IL,44100,"Springfield, IL",522,"Springfield-Jacksonville-Lincoln, IL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
N143530,POLO COMMUNITY HIGH SCHOOL,F17141,42,IL,40300,"Rochelle, IL",466,"Rockford-Freeport-Rochelle, IL",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
N143535,PONTIAC TOWNSHIP HIGH SCHOOL,F17105,32,IL,38700,"Pontiac, IL",145,"Bloomington-Pontiac, IL",0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
N143537,NORTH BOONE HIGH SCHOOL,F17007,41,IL,40420,"Rockford, IL",466,"Rockford-Freeport-Rochelle, IL",0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
N143540,RIVERDALE SENIOR HIGH SCHOOL,F17161,41,IL,19340,"Davenport-Moline-Rock Island, IA-IL",209,"Davenport-Moline, IA-IL",0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,2,0
N143550,ADLAI E. STEVENSON HIGH SCHOOL,F17097,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",7,0,4,0,5,0,1,0,2,0,2,0,8,0,3,0,7,0,8,0
N143560,PRINCETON HIGH SCHOOL,F17011,32,IL,36837,"Ottawa, IL",176,"Chicago-Naperville, IL-IN-WI",3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
N143565,PRINCEVILLE HIGH SCHOOL,F17143,42,IL,37900,"Peoria, IL",427,"Peoria-Canton, IL",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N143572,CHRISTIAN LIBERTY ACADEMY,F17031,21,IL,16980,"Chicago-Naperville-Elgin, IL-IN",176,"Chicago-Naperville, IL-IN-WI",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
N143575,QUINCY NOTRE DAME HIGH SCHOOL,F17001,33,IL,39500,"Quincy, IL-MO",448,"Quincy-Hannibal, IL-MO",1,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
N143585,QUINCY SENIOR HIGH SCHOOL,F17001,33,IL,39500,"Quincy, IL-MO",448,"Quincy-Hannibal, IL-MO",2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0
